id,買い目,購入金額,券種,odds
20130303_小倉_結果_7,2_5_13,100,,
20130303_小倉_結果_7,2_11_13,100,,
20130303_小倉_結果_7,2_3_13,100,,
20130303_小倉_結果_7,5_6_13,100,,
20130303_小倉_結果_7,6_11_13,100,,
20130303_小倉_結果_7,3_6_13,100,,
20130303_小倉_結果_7,5_9_13,100,,
20130303_小倉_結果_7,9_11_13,100,,
20130303_小倉_結果_7,3_9_13,100,,
20130303_小倉_結果_7,2_5_11,100,,
20130303_小倉_結果_7,2_3_11,100,,
20130303_小倉_結果_7,5_6_11,100,,
20130303_小倉_結果_7,3_6_11,100,,
20130303_小倉_結果_7,5_9_11,100,,
20130303_小倉_結果_7,3_9_11,100,,
20130303_小倉_結果_7,2_5_15,100,,
20130303_小倉_結果_7,2_11_15,100,,
20130303_小倉_結果_7,2_3_15,100,,
20130303_小倉_結果_7,5_6_15,100,,
20130303_小倉_結果_7,6_11_15,100,,
20130303_小倉_結果_7,3_6_15,100,,
20130303_小倉_結果_7,5_9_15,100,,
20130303_小倉_結果_7,9_11_15,100,,
20130303_小倉_結果_7,3_9_15,100,,
20130303_小倉_結果_8,7_9_13,100,,
20130303_小倉_結果_8,7_13_16,100,,
20130303_小倉_結果_8,9_13_16,100,,
20130303_小倉_結果_8,7_13_18,100,,
20130303_小倉_結果_8,9_13_18,100,,
20130303_小倉_結果_8,7_9_18,100,,
20130303_小倉_結果_8,13_16_18,100,,
20130303_小倉_結果_8,7_16_18,100,,
20130303_小倉_結果_8,9_16_18,100,,
20130303_小倉_結果_8,9_13_14,100,,
20130303_小倉_結果_8,7_9_14,100,,
20130303_小倉_結果_8,13_14_16,100,,
20130303_小倉_結果_8,7_14_16,100,,
20130303_小倉_結果_8,9_14_16,100,,
20130303_小倉_結果_8,13_14_18,100,,
20130303_小倉_結果_8,7_14_18,100,,
20130303_小倉_結果_8,9_14_18,100,,
20130303_小倉_結果_9,4_9_18,100,,
20130303_小倉_結果_9,9_13_18,100,,
20130303_小倉_結果_9,1_9_18,100,,
20130303_小倉_結果_9,1_4_9,100,,
20130303_小倉_結果_9,1_9_13,100,,
20130303_小倉_結果_9,9_17_18,100,,
20130303_小倉_結果_9,4_9_17,100,,
20130303_小倉_結果_9,9_13_17,100,,
20130303_小倉_結果_9,4_13_18,100,,
20130303_小倉_結果_9,1_13_18,100,,
20130303_小倉_結果_9,1_4_13,100,,
20130303_小倉_結果_9,13_17_18,100,,
20130303_小倉_結果_9,4_13_17,100,,
20130303_小倉_結果_9,1_4_18,100,,
20130303_小倉_結果_9,4_17_18,100,,
20130303_小倉_結果_10,1_5_16,100,,
20130303_小倉_結果_10,1_5_18,100,,
20130303_小倉_結果_10,1_5_15,100,,
20130303_小倉_結果_10,5_15_16,100,,
20130303_小倉_結果_10,5_15_18,100,,
20130303_小倉_結果_10,4_5_16,100,,
20130303_小倉_結果_10,4_5_18,100,,
20130303_小倉_結果_10,4_5_15,100,,
20130303_小倉_結果_10,1_16_18,100,,
20130303_小倉_結果_10,1_15_16,100,,
20130303_小倉_結果_10,15_16_18,100,,
20130303_小倉_結果_10,4_16_18,100,,
20130303_小倉_結果_10,4_15_16,100,,
20130303_小倉_結果_10,1_4_16,100,,
20130303_小倉_結果_10,1_4_18,100,,
20130303_小倉_結果_10,1_4_15,100,,
20130303_小倉_結果_10,4_15_18,100,,
20130303_小倉_結果_11,1_5_13,100,,
20130303_小倉_結果_11,1_5_15,100,,
20130303_小倉_結果_11,1_5_6,100,,
20130303_小倉_結果_11,1_6_13,100,,
20130303_小倉_結果_11,1_6_15,100,,
20130303_小倉_結果_11,1_13_16,100,,
20130303_小倉_結果_11,1_15_16,100,,
20130303_小倉_結果_11,1_6_16,100,,
20130303_小倉_結果_11,5_6_13,100,,
20130303_小倉_結果_11,5_6_15,100,,
20130303_小倉_結果_11,6_13_16,100,,
20130303_小倉_結果_11,6_15_16,100,,
20130303_小倉_結果_11,5_13_15,100,,
20130303_小倉_結果_11,6_13_15,100,,
20130303_小倉_結果_11,13_15_16,100,,
20130303_小倉_結果_12,3_6_8,100,,
20130303_小倉_結果_12,2_3_8,100,,
20130303_小倉_結果_12,2_3_6,100,,
20130303_小倉_結果_12,3_8_11,100,,
20130303_小倉_結果_12,3_6_11,100,,
20130303_小倉_結果_12,3_4_6,100,,
20130303_小倉_結果_12,4_6_8,100,,
20130303_小倉_結果_12,2_3_4,100,,
20130303_小倉_結果_12,2_4_8,100,,
20130303_小倉_結果_12,2_4_6,100,,
20130303_小倉_結果_12,3_4_11,100,3連複,6020.0
20130303_小倉_結果_12,4_8_11,100,,
20130303_小倉_結果_12,4_6_11,100,,
20130303_小倉_結果_12,2_6_8,100,,
20130303_小倉_結果_12,6_8_11,100,,
20230723_福島_結果_7,3_5_10,100,,
20230723_福島_結果_7,3_5_15,100,,
20230723_福島_結果_7,3_9_10,100,,
20230723_福島_結果_7,3_9_15,100,,
20230723_福島_結果_7,3_4_10,100,,
20230723_福島_結果_7,3_4_15,100,,
20230723_福島_結果_7,3_5_9,100,,
20230723_福島_結果_7,5_9_10,100,,
20230723_福島_結果_7,5_9_15,100,,
20230723_福島_結果_7,3_4_5,100,,
20230723_福島_結果_7,4_5_10,100,,
20230723_福島_結果_7,4_5_15,100,,
20230723_福島_結果_7,3_4_9,100,,
20230723_福島_結果_7,4_9_10,100,,
20230723_福島_結果_7,4_9_15,100,,
20230723_福島_結果_8,2_3_12,100,,
20230723_福島_結果_8,2_9_12,100,,
20230723_福島_結果_8,2_5_12,100,,
20230723_福島_結果_8,2_3_5,100,,
20230723_福島_結果_8,2_5_9,100,,
20230723_福島_結果_8,2_3_11,100,,
20230723_福島_結果_8,2_9_11,100,,
20230723_福島_結果_8,2_5_11,100,,
20230723_福島_結果_8,3_11_12,100,,
20230723_福島_結果_8,9_11_12,100,,
20230723_福島_結果_8,5_11_12,100,,
20230723_福島_結果_8,3_5_11,100,,
20230723_福島_結果_8,5_9_11,100,,
20230723_福島_結果_8,3_9_12,100,,
20230723_福島_結果_8,5_9_12,100,,
20230723_福島_結果_8,3_5_9,100,,
20230723_福島_結果_8,3_9_11,100,,
20230723_福島_結果_9,1_4_7,100,,
20230723_福島_結果_9,2_4_7,100,,
20230723_福島_結果_9,1_7_9,100,,
20230723_福島_結果_9,2_7_9,100,,
20230723_福島_結果_9,1_7_10,100,,
20230723_福島_結果_9,2_7_10,100,,
20230723_福島_結果_9,1_4_10,100,,
20230723_福島_結果_9,4_7_10,100,,
20230723_福島_結果_9,2_4_10,100,,
20230723_福島_結果_9,1_9_10,100,,
20230723_福島_結果_9,7_9_10,100,,
20230723_福島_結果_9,2_9_10,100,,
20230723_福島_結果_9,1_5_7,100,,
20230723_福島_結果_9,2_5_7,100,,
20230723_福島_結果_9,1_4_5,100,,
20230723_福島_結果_9,4_5_7,100,,
20230723_福島_結果_9,2_4_5,100,,
20230723_福島_結果_9,1_5_9,100,,
20230723_福島_結果_9,5_7_9,100,,
20230723_福島_結果_9,2_5_9,100,,
20230723_福島_結果_10,1_11_14,100,,
20230723_福島_結果_10,11_12_14,100,,
20230723_福島_結果_10,1_5_14,100,,
20230723_福島_結果_10,5_12_14,100,,
20230723_福島_結果_10,6_11_14,100,,
20230723_福島_結果_10,1_6_11,100,,
20230723_福島_結果_10,6_11_12,100,,
20230723_福島_結果_10,5_6_14,100,,
20230723_福島_結果_10,1_5_6,100,,
20230723_福島_結果_10,5_6_12,100,,
20230723_福島_結果_10,1_6_14,100,,
20230723_福島_結果_10,6_12_14,100,,
20230723_福島_結果_10,2_11_14,100,,
20230723_福島_結果_10,1_2_11,100,,
20230723_福島_結果_10,2_11_12,100,,
20230723_福島_結果_10,2_5_14,100,,
20230723_福島_結果_10,1_2_5,100,,
20230723_福島_結果_10,2_5_12,100,,
20230723_福島_結果_10,1_2_14,100,,
20230723_福島_結果_10,2_12_14,100,,
20230723_福島_結果_11,1_3_6,100,,
20230723_福島_結果_11,1_6_9,100,,
20230723_福島_結果_11,1_3_5,100,,
