券種,買い目,odds,id
3連複,5-6-9,2550,20130303_小倉_結果_1
3連複,3-10-14,910,20130303_小倉_結果_2
3連複,5-13-15,9540,20130303_小倉_結果_3
3連複,3-6-10,162560,20130303_小倉_結果_4
3連複,1-4-7,4020,20130303_小倉_結果_5
3連複,2-3-6,18940,20130303_小倉_結果_6
3連複,8-10-13,129890,20130303_小倉_結果_7
3連複,7-12-16,8100,20130303_小倉_結果_8
3連複,2-3-4,42430,20130303_小倉_結果_9
3連複,6-7-15,12980,20130303_小倉_結果_10
3連複,13-14-16,8080,20130303_小倉_結果_11
3連複,3-4-11,6020,20130303_小倉_結果_12
3連複,1-2-11,3350,20230723_福島_結果_1
3連複,2-6-10,5590,20230723_福島_結果_2
3連複,3-8-14,7250,20230723_福島_結果_3
3連複,4-5-9,810,20230723_福島_結果_4
3連複,2-3-9,1660,20230723_福島_結果_5
3連複,4-7-10,20580,20230723_福島_結果_6
3連複,5-6-9,5560,20230723_福島_結果_7
3連複,1-3-12,44630,20230723_福島_結果_8
3連複,5-7-14,19680,20230723_福島_結果_9
3連複,1-4-7,82000,20230723_福島_結果_10
3連複,4-7-11,10640,20230723_福島_結果_11
3連複,4-5-10,62740,20230723_福島_結果_12
3連複,2-7-8,1020,20230729_新潟_結果_1
3連複,3-13-18,53300,20230729_新潟_結果_2
3連複,2-7-15,3990,20230729_新潟_結果_3
3連複,2-8-11,6810,20230729_新潟_結果_4
3連複,1-2-6,3900,20230729_新潟_結果_5
3連複,3-4-7,940,20230729_新潟_結果_6
3連複,13-15-16,3260,20230729_新潟_結果_7
3連複,6-10-14,4350,20230729_新潟_結果_8
3連複,2-4-8,1920,20230729_新潟_結果_9
3連複,7-10-15,3870,20230729_新潟_結果_10
3連複,7-13-16,10140,20230729_新潟_結果_11
3連複,3-10-14,22800,20230729_新潟_結果_12
3連複,4-6-7,3490,20230729_札幌_結果_1
3連複,7-10-13,26090,20230729_札幌_結果_2
3連複,2-5-6,2470,20230729_札幌_結果_3
3連複,3-6-9,3930,20230729_札幌_結果_4
3連複,2-8-10,32170,20230729_札幌_結果_5
3連複,5-8-11,1510,20230729_札幌_結果_6
3連複,3-6-13,1860,20230729_札幌_結果_7
3連複,2-6-13,4490,20230729_札幌_結果_8
3連複,2-5-13,5460,20230729_札幌_結果_9
3連複,2-3-6,1040,20230729_札幌_結果_10
3連複,1-11-12,20960,20230729_札幌_結果_11
3連複,1-3-6,13570,20230729_札幌_結果_12
3連複,3-4-6,2490,20230730_新潟_結果_1
3連複,4-6-8,900,20230730_新潟_結果_2
3連複,2-12-13,298040,20230730_新潟_結果_3
3連複,2-8-13,3470,20230730_新潟_結果_4
3連複,6-8-9,2060,20230730_新潟_結果_5
3連複,2-9-12,7060,20230730_新潟_結果_6
3連複,7-11-14,3580,20230730_新潟_結果_7
3連複,2-10-13,3970,20230730_新潟_結果_8
3連複,1-10-13,2430,20230730_新潟_結果_9
3連複,4-14-16,27580,20230730_新潟_結果_10
3連複,2-3-10,110120,20230730_新潟_結果_11
3連複,1-3-15,11800,20230730_新潟_結果_12
3連複,1-6-11,27670,20230730_札幌_結果_1
3連複,2-6-10,2340,20230730_札幌_結果_2
3連複,1-6-9,28640,20230730_札幌_結果_3
3連複,6-9-13,24010,20230730_札幌_結果_3
3連複,10-11-16,9740,20230730_札幌_結果_4
3連複,9-10-11,2690,20230730_札幌_結果_5
3連複,1-10-13,3710,20230730_札幌_結果_6
3連複,2-9-11,120360,20230730_札幌_結果_7
3連複,5-6-11,22530,20230730_札幌_結果_8
3連複,4-7-11,1890,20230730_札幌_結果_9
3連複,5-9-10,11720,20230730_札幌_結果_10
3連複,1-2-7,8920,20230730_札幌_結果_11
3連複,6-9-12,7340,20230730_札幌_結果_12
3連複,2-4-11,3210,20230805_新潟_結果_1
3連複,3-7-9,2240,20230805_新潟_結果_2
3連複,7-9-18,91170,20230805_新潟_結果_3
3連複,3-6-13,2730,20230805_新潟_結果_4
3連複,3-5-6,4310,20230805_新潟_結果_5
3連複,7-8-12,590,20230805_新潟_結果_6
3連複,10-13-14,11740,20230805_新潟_結果_7
3連複,1-13-14,8360,20230805_新潟_結果_8
3連複,1-3-10,1250,20230805_新潟_結果_9
3連複,1-3-14,4830,20230805_新潟_結果_10
3連複,4-7-13,5720,20230805_新潟_結果_11
3連複,2-6-12,1060,20230805_新潟_結果_12
3連複,9-10-11,8110,20230805_札幌_結果_1
3連複,4-5-7,11500,20230805_札幌_結果_2
3連複,2-10-13,53440,20230805_札幌_結果_3
3連複,5-7-8,38380,20230805_札幌_結果_4
3連複,4-6-7,2480,20230805_札幌_結果_5
3連複,1-14-15,7910,20230805_札幌_結果_6
3連複,3-6-10,9170,20230805_札幌_結果_7
3連複,2-10-13,820,20230805_札幌_結果_8
3連複,1-3-6,4090,20230805_札幌_結果_9
3連複,7-10-12,51310,20230805_札幌_結果_10
3連複,6-7-14,4330,20230805_札幌_結果_11
3連複,1-5-10,79000,20230805_札幌_結果_12
3連複,6-7-11,3400,20230806_新潟_結果_1
3連複,2-5-6,3470,20230806_新潟_結果_2
3連複,1-2-4,10720,20230806_新潟_結果_3
3連複,2-11-12,1020,20230806_新潟_結果_4
3連複,2-5-6,11490,20230806_新潟_結果_5
3連複,4-9-12,4790,20230806_新潟_結果_6
3連複,2-8-9,1240,20230806_新潟_結果_7
3連複,5-7-8,300,20230806_新潟_結果_8
3連複,10-13-15,1970,20230806_新潟_結果_9
3連複,2-15-16,9080,20230806_新潟_結果_10
3連複,5-6-11,20790,20230806_新潟_結果_11
3連複,3-7-10,4030,20230806_新潟_結果_12
3連複,5-13-14,14530,20230806_札幌_結果_1
3連複,6-9-13,4380,20230806_札幌_結果_2
3連複,4-8-9,8040,20230806_札幌_結果_3
3連複,3-13-14,18780,20230806_札幌_結果_4
3連複,2-4-7,340,20230806_札幌_結果_5
3連複,5-10-12,18780,20230806_札幌_結果_6
3連複,5-6-12,206620,20230806_札幌_結果_7
3連複,8-10-11,8360,20230806_札幌_結果_8
3連複,1-3-7,1750,20230806_札幌_結果_9
3連複,2-4-8,11730,20230806_札幌_結果_10
3連複,4-6-8,30680,20230806_札幌_結果_11
3連複,2-9-14,9080,20230806_札幌_結果_12
3連複,6-10-12,14320,20230812_小倉_結果_1
3連複,5-7-8,420,20230812_小倉_結果_2
3連複,2-6-14,700,20230812_小倉_結果_3
3連複,1-4-8,670,20230812_小倉_結果_4
3連複,1-10-14,12430,20230812_小倉_結果_5
3連複,3-4-12,29760,20230812_小倉_結果_6
3連複,11-13-14,8470,20230812_小倉_結果_7
3連複,4-10-13,4740,20230812_小倉_結果_8
3連複,5-6-11,11770,20230812_小倉_結果_9
3連複,5-7-9,750,20230812_小倉_結果_10
3連複,4-6-13,375260,20230812_小倉_結果_11
3連複,1-8-18,112310,20230812_小倉_結果_12
3連複,7-9-15,9160,20230812_新潟_結果_1
3連複,1-6-10,1240,20230812_新潟_結果_2
3連複,3-14-15,34410,20230812_新潟_結果_3
3連複,1-10-11,105600,20230812_新潟_結果_4
3連複,2-4-6,1400,20230812_新潟_結果_5
3連複,6-8-11,32610,20230812_新潟_結果_6
3連複,15-17-18,10070,20230812_新潟_結果_7
3連複,4-9-15,28070,20230812_新潟_結果_8
3連複,1-3-11,6170,20230812_新潟_結果_9
3連複,2-5-17,189000,20230812_新潟_結果_10
3連複,5-10-14,32250,20230812_新潟_結果_11
3連複,5-8-15,3630,20230812_新潟_結果_12
3連複,1-4-8,1380,20230812_札幌_結果_1
